15 основных задач гражданской обороны не включают,вакцинацию населения в случае угрозы возникновения эпидемии
"Ваш партнер накануне встречи сообщает, что не сможет прийти на встречу из-за неожиданно появившихся дел. Вы чувствуете, что злитесь и расстроены: «Меня бросают. Я все испортил(а)! Все как обычно!» В этом случае ошибки мышления включают",персонализация
Верно следующее утверждение,Чтобы хранить паспортную фотографию сотрудника в его личном деле нужно получить его письменное согласие на хранение и обработку персональных данных
Взяткой в значительном размере признается взятка на сумму,От 25 тыс. руб.
Включение автором в научную статью фиктивного соавтора за денежное вознаграждение,"Неэтично, но не повлечет ответственности в рамках законодательства об авторских правах"
Вложения на фондовом рынке по сравнению с банковским вкладом имеют,большую доходность
Вложения на фондовом рынке по сравнению с банковским вкладом имеют,Большую рискованность
Вложения на фондовом рынке по сравнению с банковским вкладом имеют,меньшую ликвидность
"Вы написали статью и пытаетесь перечитать ее перед отправкой в журнал/коллеге/научному руководителю. Вы заметили, что ощущаете тревогу и беспомощность, думая при этом: «Я никогда не смогу сделать по-настоящему хорошую работу, мои идеи недостаточно хороши. Они во мне разочаруются». Ваши когнитивные искажения включают",НЕ мышление все или ничего НЕ негативный фильтр
"Вы откладываете подготовку задания по учебе или работе. На протяжении недели, когда вы думаете о том, что надо начать, задача откладывалась, а вместо этого вы смотрели видео или просматривали соц сети. К концу Вы стали чувстсовать себя подавленным и виноватым, а думать следующее: ""Я ленивый/ ленивая! Я не должен/должна поддаваться слабостям"". Ваши ошибки мышления включают",Сверхобобщение
"Вы получаете от потенциального работодателя сообщение о том, что они не готовы взять вас на вакантную позицию. Вы чувствуете злость и разочарование и думаете: ""В этом мире не бывает ничего хорошего. У меня постоянно что-то идет не так"". Ваши искажения","Мышление ""Всё или ничего"""
"Вы собираетесь выступить с докладом и замечаете, что ваше сердцебиение участилось. Вы чувствуете напряжение и нервничаете, потому что думаете: «Я забуду, что должен/должна сказать. Я растеряюсь, я не умею хорошо выступать. Я впаду в ступор или выставлю себя глупым(ой)». Ваши ошибки мышления",негативный прогноз
"Вы собираетесь выступить с докладом и замечаете, что ваше серцебиение участилось. Вы чувствуете напряжение и нервничаете, потому что думаете: ""Я забуду, что должен/должна сказать. Я растеряюсь, я не умею хорошо выступать. Я впаду в ступор или выставлю себя глупым(ой)"". Ваши ошибки мышления",Негативный прогноз
Выберите верное утверждение,"Мотив является побудительной причиной для достижения желаемого или, наоборот, избегания его"
"Выберите вещества, которые относятся к мало опасным:",Сероводород 
"Выберите вещества, которые относятся к чрезвычайно опасным:",Полоний
"Выберите лишний пункт, не относящийся к правилам цифровой гигиены",Держать личный аккаунт постоянно открытым
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами",нетепловое
"Выберите, для какой стадии развития группы характерна битва за статус:",Конфликтная стадия
"Выберите, для какой стадии развития группы характерно формирований традиций:",Стадия нормирующая
Главная «канализационная» система организма,лимфатическая система 
Главная движущая сила круговорота кислорода в биосфере,фотосинтез растений на суше и фитопланктон в океане
Гликолиз - это процесс окисления,Глюкозы
Групповой фаворитизм (предпочтение людей своих членов группы другим) способствует,Повышению уровня агрессии
Данные могут получить правовую охрану,в режиме государственной или коммерческой тайны
Движущая сила большого круговорота веществ в биосфере:,выветривание почвы
Дельта-сон - это,Медленно-волновой сон
"Денежные иллюзии при экономическом выборе наблюдаются, когда","Ориентируется на номинальные, а не реальные величины"
Депривация сна - это,недостаток или полное отсутствие сна 
Для использования режима самозанятого годовая сумма профессионального дохода не должна превышать,"2,4 млн. руб."
"Для того, чтобы помочь жертвам террористического акта, необходимо",Как можно быстрее привести к пострадавшему профессионалов
Доступ может быть ограничен к следующим видам информации,"информации, содержащейся в научных работах, выполненных за счет средств бюджета"
Дофамин - это,нейромедиатор
"Если вы ранены в результате террористического акты, необходимо",Постараться самостоятельно остановить кровотечение
За единицу измерения биологического эффекта ионизирующего излучения принят,Бэр
Задержанный гражданин имеет право,Не передавать правоохранительным органам пароли от гаджетов без соответствующего решения суда 
Закон лимитирующих факторов,"Лимитирующим фактором может быть, как минимум, так и максимум экологического влияния, диапазон между минимумом и максимумом определяет степень выносливости организма к данному фактору"
Законным методом выражения протеста является,Индивидуальный пикет
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",Криосфере (ледники)
"Значимая для человека группа, система норм и ценностей в которой выступают для личности эталоном это",Референтная группа
"Избыточная информация приводит к тому, что лицо, принимающее решение","Переоценивает какую-то информацию, а какую-то недооценивает"
Избыточное соавторство в научной статье,"Является этическим нарушением, но законом прямо не запрещено"
"Изменение мнений, установок и поведения индивидов под влиянием окружающих называется",Конформизм
Имущественные налоговые вычеты,связаны с приобретением недвижимости
"Имущество, переданное коррупционером лицам, не состоящим с ним в родственных отношениях","Может быть конфисковано по решению суда, если фактический владелец имущества не смог представить достаточных доказательств его законного происхождения"
Инвестиционные налоговые вычеты,Связаны с операциями с ценными бумагами
К активам домохозяйства НЕ относится,запас продуктов
К биокосному веществу биосферы относится:,почво-грунты
"К какой из органелл клетки нашего организма наиболее применимо определение ""энергетическая станция""?",Митохондрия
К компенсационным выплатам относится,Доплата за работу в ночное время
К компенсационным выплатам относится,доплата за сверхурочную работу
К компенсационным выплатам относится,доплата за совмещение профессий
К компенсационным выплатам относится,Надбавка за вредные и опасные условия труда
К компенсационным выплатам относится,Надбавка за работу в местностях с особыми климатическими условиями
К основным обязанностям работника относится,бережное отношение к имуществу работодателя
К основным обязанностям работника относится,выполнение установленных норм труда 
К основным обязанностям работника относится,добросовестное исполнение трудовых обязанностей
К основным обязанностям работника относится,Соблюдение норм охраны труда
К основным обязанностям работника относится,Соблюдение правил внутреннего трудового распорядка
К основным обязанностям работника относится,соблюдение трудовой дисциплины
К основным правам работника относится,"заключение, изменение и расторжение трудового договора"
К основным правам работника относится,своевременная и полная оплата труда
К типовым фазам ЧС не относится,Анализ последствий ЧС (эта фаза по времени может начинаться еще до завершения фазы реализации ЧС)
К факторам экологического риска относятся:,загрязнение почвы отходами производства
К федеральным социальным фондам НЕ относится,Фонд национального благосостояния
К физически опасным и вредным факторам природного происхождения относится,Уровень солнечной радиации и радиоактивность
"К числу информации, запрещенной к распространению в Интернете относится",нецензурная брань
К числу форм возможного общественного участия в местном самоуправлении не относятся,Региональные референдумы
"Как называется стадия стресса, которая наступает, когда организму не удаётся больше поддерживать стрессовую реакцию и выделение стрессовых гормонов начинает уменьшаться",Стадия истощения
"Как называют эффект усиления взаимного действия факторов на организм, который затрудняет оценку качества окружающей среды?",синергизм
Какая из перечисленных систем организма регулирует деятельность внутренних органов посредством гормонов?,Эндокринная
Какая из перечисленных функций НЕ ЯВЛЯЕТСЯ функцией пищеварительной системы?,координационная
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов
"Какая из этих кислот является наиболее универсальным источником энергии для биохимических процессов, протекающих в живых системах?",аденозинтрифосфорная кислота 
Какая функция группы состоит в осуществлении той или иной деятельности людей,Инструментальная функция
"Какая функция группы состоит в том, что люди стремятся к объединению в трудных для них ситуациях",Поддерживающая функция
Какие витамины относятся к жирорастворимым?,"A, D, E, K"
Какие из кейсов относятся к числу преступлений коррупционной направленности,Посредничество в получении крупной взятки
Какие из кейсов относятся к числу преступлений коррупционной направленности,посредничество в получении крупной взятки
Какие из нижеприведенных утверждений являются верными?,Стресс может преобразоваться в оптимальное состояние
Какие из перечисленных явлений и процессов следует отнести к экологическим проблемам:,Глобальное потепление климата
Какие источники энергии преимущественно задействуются при длительных упражнениях на выносливость (марафонский бег и т.д.)?,Гликоген/жиры
Какие нейромедиаторы «замещает» в организме этанол?,Дофамин и ГАМК
Какие утверждения верны,С волонтерами-специалистами (pro bono) следует заключать договор
Какими способами можно повысить эффективность групповой работы?,Ориентация на способности членов группы
Какое из нижеприведенных утверждений верно,"В большой группе отношения теряют личностный характер, формализуются и зачастую перестают удовлетворять членов группы"
Какое утверждение из нижеприведенных НЕверно,Сильно неоднородные по составу группы принимают более удачные решения чем группы с оптимальной однородностью
"Какой жир используется, как источник энергии в организме, в первую очередь?",Внутримышечный жир
Какой источник энергии нашего организма будет включаться первым делом при взрывном однократном мышечном усилии?,АТФ
Какой круг кровообращения служит для доставки кислорода и питательных веществ всем органам?,большой круг кровообращения 
Какой путь поступления вредных веществ в организм человека наиболее распространён?,через органы дыхания
Количественное представление критериев безопасности в окружающей среде (ОС):,Не превышение текущими значениями анализируемых параметров ОС законодательно установленных пороговых значений ПДК и ПДУ
Коллективное принятие решений способствует,Проявлению группового давления
Коллективному принятию некачественных решений свойственно,Склонность принимать сверх рискованные решения
"Концепция временной стоимости денег предполагает, что",Сегодняшние деньги ценнее завтрашних
Коррупция - это,"Злоупотребление служебным положением, дача взятки, получение взятки, злоупотребление полномочиями, коммерческий подкуп либо иное незаконное использование физическим лицом своего должностного положения в целях получения выгоды в виде денег, ценностей, иного имущества или услуг имущественного характера, иных имущественных прав для себя или третьих лиц"
Критерии безопасности загрязнения производственной и окружающей среды электромагнитными излучениями регламентируются:,Санитарные правила и нормы. СанПиН 2.2.4/2.1.8.055-96
Ксенобиотиками называют...,"вещества и предметы искусственного происхождения, которые вредят естественной среде обитания и человеку"
"Лицо, признанное иностранным агентом, не вправе",Распространять данные без маркировки о статусе иностранного агента
"Максимальное количество вредных веществ в окружающей среде, не оказывающей вредного воздествия на здоровье, называется предельно допустимым(-ой) (ПД)",ПД концентрацией (ПДК)
Между ликвидностью и риском существует … зависимость,обратная
Между риском и доходностью существует ... зависимость,прямая
Мелатонин - это,гормон сна
Миофибрилла - это структурная единица,Мышечного волокна
Наиболее точное определение понятия «здоровый образ жизни»,"здоровый образ жизни - это образ жизни, который снижает риск серьезного заболевания или преждевременной смерти"
Наиболее чувствительными из перечисленных систем организма к неионизирующему излучению являются...,половая
Научное открытие,Регистрируется Международной академии авторов научных открытий и изобретений (МААНОиИ) и Российской академии ествественных наук (РАЕН)
Научный отчёт это,Объект авторского права
Некоммерческая организация,"Создается в целях, не связанных с извлечением прибыли"
Некоммерческая организация заключает трудовой договор,со всеми сотрудниками 
Непредоставление в срок налоговой декларации наказывается,"штрафом в размере от 1000 руб. до 30% от суммы, подлежащей уплате"
"Несколько дней подряд у вас не очень хорошо идут дела в учёбе, вы начинаете заболевать, и поссорились с близким другом. Вас начинают посещать следующие мысли: ""У меня просто чёрная полоса. Я сделал кому-то что-то плохое, и теперь меня преследует полоса неудач"". Ваши когнитивные искажения",Персонализация
Несообщение о конфликте интересов должностным лицом органа государственной власти это,Дисциплинарный проступок
Неумышленное уклонение от уплаты налогов наказывается,штрафом в размере 20% от неуплаченной суммы 
Ноу-хау охраняется,в режиме коммерческой тайны
Объектом авторских прав является,музыкальное произведение 
"Ограничения, вводимые на концентрации веществ и потоки энергий в окружающей среде характеризуются:",Критериями безопасности
Опасность тяжелых металлов обусловлена,Их устойчивостью во внешней среде
Оплата больничного листа осуществляется из,Фонда социального страхования
Оплата пребывания в больнице оплачивается из,Фонда обязательного медицинского страхования
Определение персональных данных гражданина включает,"Любую информацию, относящуюся к прямо или косвенно определенному или определяемому физическому лицу"
Определение понятия Экологическая безопасность,"Состояние защищенности природной среды и жизненно важных интересов человека от возможного негативного воздействия хозяйственной и иной деятельности, чрезвычайных ситуаций природного и техногенного характера, их последствий"
Определите основные механизмы концентрирования ксенобиотиков:,собирание мусора в природных экосистемах
"Определите основные характеристики экологической системы, находящейся в катастрофическом состоянии",биологическая продуктивность минимальна
"Определите показатели темпов восстановления экологической системы, находящейся в естественном состоянии:",биомасса максимальная
"Определите степень воздействия антропогенного фактора на экологическую систему, находящуюся в стадии климакса:",фоновое антропогенное воздействие
Организацию признать экстремистской можно,Решением суда
Основная аксиома БЖД:,Любая деятельность потенциально опасна 
Основная практическая цель Экологической безопасности,"Не полное исключение опасностей при взаимодействии человека и природной среды, а, учитывая реальные угрозы, снижение вероятности их проявления до минимума"
Основным источником диоксинов в биосфере является,Целлюлозно-буманая промышленность
Основой какого раздела медицины является гигиена?,Профилактической
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), о путях обеспечения безопасности:","справедливы высказывания о том, что пути обеспечения безопасности предполагают и возможность проведения мероприятий, направленных на защиту от существующих опасностей, и возможность устранения источников опасностей"
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), связанное с использованием понятий «безопасность» и «комплексная безопасность»):",справедливы все приведённые определения
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), связанное с использованием понятий безопасность и риск:",все приведённые высказывания являются правильными
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), связанное с использованием понятий риск и безопасность:","безопасность – это состояние, при котором путём соблюдения правовых норм требований и правил максимально снижается риск (частота, вероятность, ущерб) возникновения различных воздействий на человека или группы людей, объекты экономики (ОЭ) и объекты природной среды (ОПС)"
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), связанное с использованием понятий риск и безопасность:",Все приведённые высказывания не являются полными и точными
"Отметьте правильное и наиболее полное высказывание (из приведённых ниже высказываний), связанное с использованием понятия безопасность","Термин ""безопасность"" может употребляться применительно по отношению к объектам экономики"
Отметьте правильное и наиболее полное высказывание из ниже приведённых о концепциях обеспечения безопасности:,справедливы все приведённые высказывания
Отметьте правильное и наиболее полное высказывание из ниже приведённых о концепциях обеспечения безопасности:,справедливыми являются только высказывания относительно концепции приемлемого риска
Отметьте правильное и наиболее полное из ниже приведённых высказывание о задачах обеспечения безопасности,несправедливы все остальные приведённые высказывания
Отметьте правильное и наиболее полное из ниже приведённых высказывание о задачах обеспечения безопасности:,"задача обеспечения безопасности заключается, в том числе, и в снижении опасностей, и в предупреждении возможных воздействий опасностей"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о классификациях объектов промышленности по категориям в соответствии с индивидуальным риском для профессиональной деятельности согласно Стандарту экологического менеджмента ИСО 14000:,"категория объекта относится к особо опасному, если уровень индивидуального риска составляет величину больше 10-2 смертей на человека в год "
Отметьте правильное и наиболее полное из ниже приведённых высказывание о количественных оценках опасности,Справедливы все приведённые высказывания
Отметьте правильное и наиболее полное из ниже приведённых высказывание о методах обеспечения безопасности:,справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о показателей DALY (disability-adjusted life year), характеризующем количество потерянных лет качественной жизни, также называемом ""годы жизни, скорректированные по нетрудоспособности"", или ""потерянные годы качественной жизни""","Ранняя преждевременная смерть за каждый ""недожитий"" год жизни даёт потерю качественной жизни равный одному году, а потеря качества жизни из-за тяжести различных заболеваний высчитывают, основываясь на использовании коэффициентов, определённых на базе проведённых общественных опросов"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о показателях QALY (quality-adjusted life year),этот показатель может использоваться как количественная мера уровня безопасности
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ,"В последние годы наблюдается тенденция увеличения доли смертности, связанной с психическими расстройствами и расстройствами поведения"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"в последние годы в России (кроме лет эпидемии COVID-19) в структуре основных классификационных групп причин смерти «травмы, отравления и некоторые другие последствия воздействия внешних причин» стабильно занимают третье место по значимости"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-5 смертей на человека в год
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о способах защиты работников от опасностей, возникающих при ЧС","На практике используются все перечисленные способы защиты работников от опасностей, возникающих при ЧС"
